Retailer Id,RetailerName,current status,landingUrl,Live or Not,status
577,Cheapticket.in,Active,https://cheapticket.in/,Yes,
1895,Chemist At Play,Active,https://chemistatplay.com/,Yes,
1896,Chemist At Play D,Active,https://chemistatplay.com/,Yes,
98,Chhabra555.com,Active,http://35.194.30.57/go2store/id/98,No,
382,Chumbak.com,Active,https://www.chumbak.com/,Yes,
527,Chungistore.com,Active,http://www.chungistore.com/,Yes,
978,CircleOne,Active,https://www.circleone.in/,Yes,
552,Citi,Active,https://www.online.citibank.co.in/,Yes,
1227,Citi Bank CC D,Active,https://www.online.citibank.co.in/portal/newgen/cards/tab/a,No,
774,CityFurnish,Active,https://cityfurnish.com/,Yes,
1640,CityFurnish D,Active,https://cityfurnish.com/,Yes,
815,ClassicRummy.com,Active,https://www.classicrummy.com/,Yes,
2005,ClassPlus D,Active,https://classplusapp.com/,Yes,
1213,Classy Queen,Active,https://classyqueen.com,Yes,
1494,Clean & Clear,Active,https://www.cleanandclear.in/,Yes,
1659,Cleartrip D,Active,https://www.cleartrip.com,Yes,
592,Cleartrip Domestic Flights,Active,https://www.cleartrip.com/flights,Yes,
708,Cleartrip International Flights,Active,https://www.cleartrip.com/flights,Yes,
1181,Cleartrip Local,Active,https://www.cleartrip.com/activities,No,
114,Cleartrip-114,Active,http://35.194.30.57/go2store/id/114,No,
707,Cleartrip-Hotels,Active,https://www.cleartrip.com/hotels,Yes,
2115,Clensta,Active,https://clensta.com/,Yes,
2116,Clensta D,Active,https://clensta.com/,Yes,
1583,ClickOnCare,Active,https://www.clickoncare.com/,Yes,
1588,Clix D,INActive,https://apply.clix.capital/,No,
190,Clovia,Active,https://www.clovia.com/,Yes,
1479,Clovia D,Active,https://www.clovia.com/,Yes,
947,ClubFactory.com,Active,https://www.clubfactory.com,Yes,
1350,Coccoon,Active,https://coccoon.in/,No,
1509,Coco Soul,Active,https://mycocosoul.com,Yes,
1838,Coco Soul D,Active,https://mycocosoul.com/,Yes,
1596,Cocomo,Active,https://www.cocomo.in/,Yes,
1597,Cocomo D,INActive,https://www.cocomo.in/,Yes,
2081,Code Grooming,Active,https://codegrooming.com/,Yes,
2082,Code Grooming D,Active,https://codegrooming.com/,Yes,
1223,Coding Blocks,Active,https://codingblocks.com/,Yes,
1807,Coin DCX D,INActive,https://coindcx.com/,Yes,
316,Coke2home.com,Active,http://35.194.30.57/go2store/id/316,No,
1937,Colgate Toothbrush,Active,https://www.cpbrush.co.in/,No,
1938,Colgate Toothbrush D,Active,https://www.cpbrush.co.in/,No,
971,Colorbar,Active,http://35.194.30.57/go2store/id/971,No,
1928,Combonation,Active,https://www.combonation.in/,No,
1929,Combonation D,Active,https://www.combonation.in/,No,
346,Condompoint.com,Active,http://35.194.30.57/go2store/id/346,No,
674,Confirmtkt.com,Active,https://www.confirmtkt.com/,Yes,
1752,Conscent,Active,https://magazine.outlookindia.com/,Yes,
1449,Coolwinks D,Active,https://www.coolwinks.com/,No,
1060,Coolwinks Exclusive,INActive,https://www.coolwinks.com/,No,
524,Coolwinks.com,Active,https://www.coolwinks.com/,No,
728,Cottonworld.net,Active,https://cottonworld.net/,Yes,
1059,Country Delight,Active,https://enquiry.countrydelight.in,No,
328,Countrykraftz.com,Active,http://35.194.30.57/go2store/id/328,No,
1249,Coursera,Active,https://www.coursera.org/,Yes,
1272,Coursera D,Active,https://www.coursera.org/,Yes,
949,CoverFox.com,Active,https://www.coverfox.com/,Yes,
478,Craftsvilla.com,Active,http://35.194.30.57/go2store/id/478,No,
1504,CrazyBulk,Active,https://www.crazybulk.in/,Yes,
384,Crazyflorist.com,Active,http://35.194.30.57/go2store/id/384,No,
1250,Cred,Active,https://www.cred.club/,Yes,
1251,CredD,Active,https://www.cred.club/,Yes,
2301,Credilio,Active,https://customer.credilio.in/credit-card/utm-broadcast/sbm-credilio/,Yes,
2302,Credilio D,Active,https://customer.credilio.in/credit-card/utm-broadcast/sbm-credilio/,Yes,
2143,Credit Mantri D,Active,https://www.creditmantri.com/campaign/equifax/credit-score/,Yes,
2314,Creditlinks D,Active,https://loans.creditlinks.in/jIQoBOrt,Yes,
1045,Creditmantri.com,Active,https://www.creditmantri.com/campaign/equifax/credit-score/,Yes,
879,Criksix.com,Active,http://criksix.com/,Yes,
569,Crocs,Active,https://www.shopcrocs.in/,Yes,
1453,Crocs D,Active,https://www.shopcrocs.in/,Yes,
116,Croma,Active,https://www.croma.com/,Yes,
1206,Croma D,Active,https://www.croma.com/,Yes,
1485,Croppd,Active,https://croppd.in/,Yes,
1434,CrossLoop,Active,https://crossloop.co.in/,Yes,
407,Ctrip.com,Active,http://35.194.30.57/go2store/id/407,No,
